Complaint ID,Product,Issue,Company,State,ZIP code
3235984,Debt collection,Took threatened take negative legal action,CNG FINANCIAL CORPORATION,IL,604XX
3235493,Debt collection,Attempts collect debt owed,The CMI Group Inc,FL,329XX
3235467,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,FL,339XX
3235814,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,EQUIFAX INC,NY,104XX
3236113,Debt collection,Attempts collect debt owed,ASSET MANAGEMENT OUTSOURCING INC,GA,30331
3236254,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,LA,70115
3235537,Debt collection,Attempts collect debt owed,NRA Group LLC,MA,016XX
3237603,Checking savings account,Problem caused funds low,BBT CORPORATION,GA,30510
3235583,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,EQUIFAX INC,CT,06514
3235560,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,NY,109XX
3236263,Debt collection,Attempts collect debt owed,Ad Astra Recovery Services Inc,TX,77055
3236189,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,TX,78043
3235513,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,EQUIFAX INC,WA,983XX
3236078,Credit reporting credit repair services personal consumer reports,Incorrect information report,AMERICAN HONDA FINANCE CORP,CA,90025
3235818,Credit reporting credit repair services personal consumer reports,Unable get credit report credit score,EQUIFAX INC,MI,48098
3235573,Credit reporting credit repair services personal consumer reports,Improper use report,EQUIFAX INC,OH,43123
3235564,Credit reporting credit repair services personal consumer reports,Credit monitoring identity theft protection services,EQUIFAX INC,FL,328XX
3235480,Credit reporting credit repair services personal consumer reports,Unable get credit report credit score,EQUIFAX INC,NY,11801
3236427,Payday loan title loan personal loan,Struggling pay loan,NAVY FEDERAL CREDIT UNION,GA,30097
3235835,Checking savings account,Managing account,Certegy Holdings LLC,GA,31794
3235820,Mortgage,Trouble payment process,BAYVIEW LOAN SERVICING LLC,NY,14120
3236502,Mortgage,Struggling pay mortgage,PRIMARY RESIDENTIAL MORTGAGE,CA,92877
3235791,Debt collection,Attempts collect debt owed,Millco Management,PA,193XX
3235924,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,KY,40220
3236364,Debt collection,Attempts collect debt owed,Illinois Collection Service Inc,IL,60623
3237406,Mortgage,Applying mortgage refinancing existing mortgage,ALLY FINANCIAL INC,CA,94565
3236287,Payday loan title loan personal loan,Charged fees interest expect,NAVY FEDERAL CREDIT UNION,VA,23831
3235991,Credit reporting credit repair services personal consumer reports,Incorrect information report,Byrider Franchising LLC,IL,604XX
3236213,Debt collection,Attempts collect debt owed,Ad Astra Recovery Services Inc,TX,76712
3235494,Credit reporting credit repair services personal consumer reports,Improper use report,EQUIFAX INC,GA,302XX
3235603,Debt collection,Written notification debt,Ability Recovery Services LLC,PA,191XX
3235575,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,FL,335XX
3235801,Debt collection,Attempts collect debt owed,NRA Group LLC,FL,322XX
3236470,Debt collection,Written notification debt,ONLINE Information Services Inc,GA,31520
3235574,Credit reporting credit repair services personal consumer reports,Improper use report,EQUIFAX INC,TN,379XX
3235972,Debt collection,Communication tactics,First Associates Loan Servicing LLC,ID,836XX
3236088,Debt collection,Communication tactics,Oracle Financial Group LLC,TX,773XX
3235757,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,LEXISNEXIS,NY,11218
3235718,Checking savings account,Managing account,ALLY FINANCIAL INC,GA,31907
3236567,Debt collection,Attempts collect debt owed,CURO Intermediate Holdings,TX,77055
3235565,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,CA,90211
3235519,Debt collection,Attempts collect debt owed,Harris  Harris Ltd,IL,606XX
3236729,Debt collection,Threatened contact someone share information improperly,D SCOTT CARRUTHERS,CA,944XX
3235543,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,EQUIFAX INC,MO,64130
3235525,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,UT,840XX
3235553,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,CO,810XX
3236357,Debt collection,Communication tactics,Webcollex LLC,VA,222XX
3236297,Debt collection,Took threatened take negative legal action,National Business Factors,NV,89431
3237673,Mortgage,Struggling pay mortgage,NATIONSTAR MORTGAGE,CA,92026
3236703,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,HCFS Health Care Financial Services Inc,GA,303XX
3236012,Debt collection,Attempts collect debt owed,MiraMed Revenue Group LLC,NY,109XX
3236759,Debt collection,Attempts collect debt owed,Perfection Collection,GA,303XX
3236270,Credit reporting credit repair services personal consumer reports,Incorrect information report,ONLINE Information Services Inc,TN,38116
3236160,Debt collection,Attempts collect debt owed,Hillcrest Davidson  Assoc,PA,191XX
3235709,Credit reporting credit repair services personal consumer reports,Incorrect information report,ALLY FINANCIAL INC,CA,91202
3235722,Debt collection,Written notification debt,Riverwalk Financial Corporation,OH,442XX
3236360,Debt collection,Written notification debt,Associated Credit Services Inc,TX,79747
3235462,Debt collection,Communication tactics,Diversified Consultants Inc,LA,704XX
3235509,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,FL,33436
3235725,Debt collection,Attempts collect debt owed,GLA Collection Company Inc,IN,462XX
3236063,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,FIFTH THIRD FINANCIAL CORPORATION,NY,14221
3236110,Vehicle loan lease,Problem credit reporting companys investigation existing problem,AMERICAN HONDA FINANCE CORP,RI,028XX
3235529,Debt collection,Attempts collect debt owed,ProCollect Inc,TX,775XX
3236057,Debt collection,Communication tactics,Pendrick Capital Partners Holding LLC,DC,200XX
3235595,Credit card prepaid card,Incorrect information report,Army and Air Force Exchange Service,CA,913XX
3236342,Debt collection,Attempts collect debt owed,AMCOL Systems Inc,TX,782XX
3235963,Debt collection,False statements representation,ASSET MANAGEMENT OUTSOURCING INC,VA,22031
3235783,Checking savings account,Closing account,US BANCORP,MD,21117
3235973,Debt collection,Attempts collect debt owed,Keynote Consulting Inc,CA,953XX
3236629,Payday loan title loan personal loan,Struggling pay loan,Ad Astra Recovery Services Inc,CA,92782
3235763,Vehicle loan lease,Managing loan lease,ALLY FINANCIAL INC,NJ,08701
3236260,Debt collection,Took threatened take negative legal action,American Coradius International LLC,WA,98110
3236542,Debt collection,Written notification debt,The CMI Group Inc,SC,297XX
3235471,Credit reporting credit repair services personal consumer reports,Improper use report,EQUIFAX INC,MD,20785
3234471,Mortgage,Trouble payment process,CARDINAL FINANCIAL COMPANY,IL,601XX
3234253,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,FL,33322
3234244,Credit reporting credit repair services personal consumer reports,Improper use report,ONEMAIN FINANCIAL HOLDINGS LLC,PA,152XX
3233798,Credit reporting credit repair services personal consumer reports,Incorrect information report,Convergent Resources Inc,GA,30328
3234200,Credit card prepaid card,Advertising marketing including promotional offers,AMERICAN EXPRESS COMPANY,IL,602XX
3235143,Money transfer virtual currency money service,Money available promised,PAYPAL HOLDINGS INC,CT,063XX
3234164,Payday loan title loan personal loan,Problem payoff process end loan,NAVY FEDERAL CREDIT UNION,MS,39073
3235429,Debt collection,Attempts collect debt owed,Sequium Asset Solutions LLC,KS,672XX
3234536,Debt collection,Attempts collect debt owed,ALLY FINANCIAL INC,NC,282XX
3233668,Debt collection,Communication tactics,Maury Cobb Attorney at Law LLC,CA,924XX
3235607,Debt collection,Attempts collect debt owed,Commonwealth Financial Systems Inc,TX,750XX
3235181,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,Capital Accounts LLC,TX,760XX
3234232,Mortgage,Struggling pay mortgage,OCWEN LOAN SERVICING LLC,DE,197XX
3234998,Debt collection,Attempts collect debt owed,Stone Creek Financial Inc,OH,432XX
3234578,Debt collection,Attempts collect debt owed,Convergent Resources Inc,CT,06460
3234900,Debt collection,Attempts collect debt owed,SYNCHRONY FINANCIAL,CA,90221
3234467,Credit reporting credit repair services personal consumer reports,Incorrect information report,Colony Brands Inc,WI,532XX
3233672,Credit reporting credit repair services personal consumer reports,Incorrect information report,Diversified Consultants Inc,CT,064XX
3234885,Debt collection,Written notification debt,SYNCHRONY FINANCIAL,PR,009XX
3235328,Student loan,Dealing lender servicer,AESPHEAA,PA,19026
3234043,Credit reporting credit repair services personal consumer reports,Incorrect information report,Rent Recovery Solutions,GA,30328
3234802,Debt collection,Took threatened take negative legal action,Emmett L Goodman Jr LLC,GA,312XX
3235195,Debt collection,False statements representation,Collection Bureau Incorporated,ID,83715
3234782,Debt collection,Attempts collect debt owed,Ability Recovery Services LLC,PA,19134
3235104,Debt collection,Written notification debt,Credit Protection Association LP,AZ,85710
3234266,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,FL,33322
3235410,Debt collection,Threatened contact someone share information improperly,Northern Resolution Services,OH,454XX
3234698,Debt collection,Attempts collect debt owed,ONLINE Information Services Inc,AL,358XX
3234554,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,AZ,850XX
3234768,Credit card prepaid card,Getting credit card,NAVY FEDERAL CREDIT UNION,TX,75287
3233866,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,CA,920XX
3235446,Debt collection,Took threatened take negative legal action,Diversified Consultants Inc,LA,704XX
3235086,Debt collection,Attempts collect debt owed,Monterey Financial Services LLC,VA,236XX
3235314,Credit card prepaid card,Getting credit card,SYNCHRONY FINANCIAL,SC,29644
3235372,Debt collection,False statements representation,TH Professional  Medical Collections LTD,IL,616XX
3234978,Debt collection,Attempts collect debt owed,Designed Receivable Solultions Inc,CA,902XX
3234787,Credit card prepaid card,Fees interest,Army and Air Force Exchange Service,FL,33511
3234830,Mortgage,Applying mortgage refinancing existing mortgage,NATIONSTAR MORTGAGE,CA,92026
3234228,Credit reporting credit repair services personal consumer reports,Incorrect information report,STERLING INFOSYSTEMS INC,CA,90706
3234914,Credit reporting credit repair services personal consumer reports,Incorrect information report,NAVY FEDERAL CREDIT UNION,FL,33030
3234635,Debt collection,Attempts collect debt owed,Southwest Credit Systems LP,NJ,070XX
3234221,Debt collection,Communication tactics,ERC,FL,339XX
3235022,Money transfer virtual currency money service,Problem customer service,NAVY FEDERAL CREDIT UNION,GA,31907
3234621,Debt collection,Written notification debt,General Business Recoveries Inc,AZ,85710
3234819,Checking savings account,Managing account,NAVY FEDERAL CREDIT UNION,CA,955XX
3234230,Credit reporting credit repair services personal consumer reports,Improper use report,AMERICAN EXPRESS COMPANY,PA,152XX
3234606,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,TX,776XX
3234288,Mortgage,Trouble payment process,FLAGSTAR BANK FSB,TX,775XX
3235432,Debt collection,Attempts collect debt owed,Ability Recovery Services LLC,FL,32907
3234515,Debt collection,Written notification debt,ONLINE Information Services Inc,FL,32216
3235186,Debt collection,Attempts collect debt owed,Pendrick Capital Partners Holding LLC,AL,350XX
3234524,Credit reporting credit repair services personal consumer reports,Incorrect information report,COLLECTION PROFESSIONALS INC Illinois,IL,60435
3234969,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,ONLINE Information Services Inc,FL,32571
3235164,Debt collection,Attempts collect debt owed,Source Receivables Management LLC,CA,902XX
3235088,Credit reporting credit repair services personal consumer reports,Improper use report,ALLY FINANCIAL INC,WI,53061
3234492,Debt collection,Attempts collect debt owed,R  B Corporation of Virginia,VA,23601
3234398,Credit reporting credit repair services personal consumer reports,Improper use report,BARCLAYS BANK DELAWARE,IL,628XX
3234543,Payday loan title loan personal loan,Vehicle repossessed sold vehicle,BMO HARRIS BANK NATIONAL ASSOCIATION,GA,313XX
3234795,Mortgage,Trouble payment process,Ditech Financial LLC,TX,77320
3234255,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,KY,421XX
3235172,Mortgage,Trouble payment process,NATIONSTAR MORTGAGE,NM,880XX
3234945,Debt collection,Attempts collect debt owed,Convergent Resources Inc,IN,462XX
3235070,Credit reporting credit repair services personal consumer reports,Incorrect information report,BAYVIEW LOAN SERVICING LLC,DC,200XX
3234240,Debt collection,Written notification debt,Commonwealth Financial Systems Inc,CA,92120
3235224,Mortgage,Applying mortgage refinancing existing mortgage,ADVISORS MORTGAGE GROUP LLC,NY,10469
3234620,Debt collection,Written notification debt,ONLINE Information Services Inc,GA,303XX
3234618,Debt collection,Attempts collect debt owed,Millco Management,FL,329XX
3235032,Mortgage,Struggling pay mortgage,NATIONSTAR MORTGAGE,CT,06606
3234933,Debt collection,Attempts collect debt owed,Commonwealth Financial Systems Inc,CA,902XX
3233752,Credit reporting credit repair services personal consumer reports,Problem fraud alerts security freezes,TRANSUNION INTERMEDIATE HOLDINGS INC,GA,30233
3233884,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,10461
3233980,Payday loan title loan personal loan,Incorrect information report,MT BANK CORPORATION,TX,77091
3233955,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,MN,553XX
3234029,Debt collection,Attempts collect debt owed,CMRE Financial Services Inc,CA,91615
3233803,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,11218
3233998,Mortgage,Trouble payment process,NATIONSTAR MORTGAGE,WA,986XX
3233407,Credit card prepaid card,Problem purchase shown statement,HSBC NORTH AMERICA HOLDINGS INC,KS,66212
3235167,Mortgage,Trouble payment process,JPMORGAN CHASE  CO,FL,33578
3234072,Debt collection,Attempts collect debt owed,First Credit Services Inc,NJ,07304
3233349,Debt collection,Written notification debt,AUTOMOTIVE CREDIT CORPORATION,IN,461XX
3233364,Vehicle loan lease,Incorrect information report,TOYOTA MOTOR CREDIT CORPORATION,CA,95126
3233537,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,TX,760XX
3233493,Debt collection,Took threatened take negative legal action,CITIBANK NA,MN,55398
3232869,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,11691
3234130,Debt collection,Written notification debt,Alpine Credit Inc,CO,80220
3232783,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,OH,441XX
3233391,Student loan,Dealing lender servicer,Navient Solutions LLC,NC,275XX
3235057,Checking savings account,Managing account,FLAGSTAR BANK FSB,OH,45874
3233329,Credit reporting credit repair services personal consumer reports,Credit monitoring identity theft protection services,Innovis,NJ,08097
3233487,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,CO,800XX
3234591,Mortgage,Closing mortgage,ALLY FINANCIAL INC,CA,94565
3233618,Checking savings account,Managing account,NAVY FEDERAL CREDIT UNION,TX,75056
3233393,Vehicle loan lease,Managing loan lease,HUNTINGTON NATIONAL BANK THE,TN,37920
3232804,Credit reporting credit repair services personal consumer reports,Incorrect information report,SYNCHRONY FINANCIAL,NC,27330
3234090,Student loan,Dealing lender servicer,Bass  Associates PC Attorneys at Law,CA,906XX
3234098,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,CA,935XX
3233720,Debt collection,Attempts collect debt owed,Midwest Recovery Systems,TX,750XX
3233695,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,IL,60475
3233810,Credit reporting credit repair services personal consumer reports,Improper use report,EQUIFAX INC,CA,93535
3234107,Debt collection,Attempts collect debt owed,Army and Air Force Exchange Service,FL,32304
3233704,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,NAVY FEDERAL CREDIT UNION,NJ,071XX
3233456,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,115XX
3232855,Debt collection,Communication tactics,Capital Accounts LLC,LA,710XX
3233857,Debt collection,Attempts collect debt owed,Community Health Investment Company LLC,FL,341XX
3233982,Vehicle loan lease,Incorrect information report,AMERICAN HONDA FINANCE CORP,TX,770XX
3233930,Debt collection,Threatened contact someone share information improperly,SOUTHERN MANAGEMENT CORP,TN,378XX
3234749,Checking savings account,Opening account,FIFTH THIRD FINANCIAL CORPORATION,TN,38016
3233573,Debt collection,Attempts collect debt owed,Ability Recovery Services LLC,NC,282XX
3233355,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,VA,234XX
3234084,Money transfer virtual currency money service,Other transaction problem,Coinbase Inc,NC,282XX
3233674,Checking savings account,Opening account,HUNTINGTON NATIONAL BANK THE,CA,91302
3233569,Debt collection,Written notification debt,AMCOL Systems Inc,OH,430XX
3233642,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,331XX
3233556,Debt collection,Took threatened take negative legal action,D2 Management LLC,TX,799XX
3233819,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,GA,30350
3233386,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,32259
3233845,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,CA,93535
3233844,Credit card prepaid card,Problem purchase shown statement,AMERICAN EXPRESS COMPANY,GA,303XX
3233516,Debt collection,Threatened contact someone share information improperly,Perfection Collection,FL,33446
3233245,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,MD,20774
3233706,Debt collection,Written notification debt,HCFS Health Care Financial Services Inc,OH,44108
3232822,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,11763
3233578,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,320XX
3233971,Debt collection,Attempts collect debt owed,Trident Asset Management LLC,NJ,080XX
3232848,Debt collection,Attempts collect debt owed,CL HOLDINGS LLC,CA,926XX
3233421,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,CA,92019
3233283,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,MI,481XX
3232866,Credit reporting credit repair services personal consumer reports,Incorrect information report,Accelerated Financial Solutions LLC,NY,104XX
3234149,Credit card prepaid card,Getting credit card,NAVY FEDERAL CREDIT UNION,SC,29201
3233260,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,33908
3232834,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,125XX
3233258,Mortgage,Incorrect information report,Kentucky Housing Corporation,KY,40214
3232772,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,MA,020XX
3233475,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,320XX
3233533,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,TX,760XX
3233600,Mortgage,Trouble payment process,FIFTH THIRD FINANCIAL CORPORATION,NY,11747
3234851,Checking savings account,Managing account,ALLY FINANCIAL INC,NY,10468
3233292,Credit reporting credit repair services personal consumer reports,Credit monitoring identity theft protection services,EQUIFAX INC,NJ,08056
3232839,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,MA,020XX
3233973,Mortgage,Struggling pay mortgage,NATIONSTAR MORTGAGE,WI,532XX
3233453,Mortgage,Trouble payment process,FLAGSTAR BANK FSB,CA,919XX
3233799,Credit card prepaid card,Advertising marketing including promotional offers,AMERICAN EXPRESS COMPANY,CT,06820
3232798,Debt collection,Took threatened take negative legal action,Diversified Consultants Inc,LA,704XX
3233370,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,MO,65721
3233921,Money transfer virtual currency money service,Fraud scam,SQUARE INC,PA,152XX
3233923,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,333XX
3233724,Debt collection,Attempts collect debt owed,Collection Professionals Inc Wyoming,WY,828XX
3233272,Credit reporting credit repair services personal consumer reports,Credit monitoring identity theft protection services,EQUIFAX INC,NJ,08097
3233683,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,OK,740XX
3233816,Debt collection,Attempts collect debt owed,Credit Karma Inc,FL,327XX
3234044,Mortgage,Trouble payment process,FLAGSTAR BANK FSB,CA,94566
3233544,Debt collection,Took threatened take negative legal action,Associated Credit Services Inc,FL,334XX
3233981,Debt collection,Communication tactics,JH Portfolio Debt Equities LLC,CA,92672
3233983,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,MN,553XX
3233860,Credit reporting credit repair services personal consumer reports,Improper use report,TRANSUNION INTERMEDIATE HOLDINGS INC,NV,89113
3233713,Debt collection,Attempts collect debt owed,MRS BPO LLC,TX,78258
3233414,Debt collection,Attempts collect debt owed,GLA Collection Company Inc,IN,462XX
3233905,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,CA,95219
3233710,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,CT,06830
3233541,Credit card prepaid card,Problem purchase shown statement,SYNCHRONY FINANCIAL,CA,913XX
3233325,Credit reporting credit repair services personal consumer reports,Credit monitoring identity theft protection services,Innovis,NJ,08056
3233504,Debt collection,Attempts collect debt owed,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,320XX
3233711,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,CT,06830
3233626,Mortgage,Trouble payment process,SANTANDER BANK NATIONAL ASSOCIATION,MA,01609
3233893,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,NY,115XX
3233506,Debt collection,Took threatened take negative legal action,Granite Creditors Service Inc,CA,945XX
3232846,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,FL,33127
3233188,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,MA,027XX
3232831,Credit reporting credit repair services personal consumer reports,Incorrect information report,TRANSUNION INTERMEDIATE HOLDINGS INC,GA,30340
